"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J3ZF57PZ","journalArticle","2016","Streicher, Jeffrey W.; McEntee, Jay P.; Drzich, Laura C.; Card, Daren C.; Schield, Drew R.; Smart, Utpal; Parkinson, Christopher L.; Jezkova, Tereza; Smith, Eric N.; Castoe, Todd A.","Genetic surfing, not allopatric divergence, explains spatial sorting of mitochondrial haplotypes in venomous coralsnakes","Evolution","","1558-5646","10.1111/evo.12967","http://onlinelibrary.wiley.com/doi/10.1111/evo.12967/full","Strong spatial sorting of genetic variation in contiguous populations is often explained by local adaptation or secondary contact following allopatric divergence. A third explanation, spatial sorting by...","2016-07-01","2018-01-23 00:58:26","2018-01-23 00:58:26","2018-01-23 00:58:26","1435-1449","","7","70","","","","","","","","","","en","All rights reserved","","","","onlinelibrary.wiley.com.ezproxy.uta.edu","","","","/Users/darencard/Zotero/storage/G7767ALR/full.html; /Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/StreicherJS_2016_Evolution_Genetic_surfing,_not_allopatric_divergence,_explains_spatial_sorting_of_mitochondrial_haplotypes_in_venomous_coralsnakes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6SAVA4AG","journalArticle","2017","Verity, Robert; Collins, Caitlin; Card, Daren C.; Schaal, Sara M.; Wang, Liuyang; Lotterhos, Katie E.","minotaur: A platform for the analysis and visualization of multivariate results from genome scans with R Shiny","Molecular Ecology Resources","","1755-0998","10.1111/1755-0998.12579","http://onlinelibrary.wiley.com/doi/10.1111/1755-0998.12579/abstract","Genome scans are widely used to identify ‘outliers’ in genomic data: loci with different patterns compared with the rest of the genome due to the action of selection or other nonadaptive forces of evolution. These genomic data sets are often high dimensional, with complex correlation structures among variables, making it a challenge to identify outliers in a robust way. The Mahalanobis distance has been widely used, but has the major limitation of assuming that data follow a simple parametric distribution. Here, we develop three new metrics that can be used to identify outliers in multivariate space, while making no strong assumptions about the distribution of the data. These metrics are implemented in the R package minotaur, which also includes an interactive web-based application for visualizing outliers in high-dimensional data sets. We illustrate how these metrics can be used to identify outliers from simulated genetic data and discuss some of the limitations they may face in application.","2017-01-01","2018-01-23 00:59:03","2018-01-23 00:59:03","2018-01-23 00:59:03","33-43","","1","17","","Mol Ecol Resour","minotaur","","","","","","","en","All rights reserved","","","","Wiley Online Library","","","","/Users/darencard/Zotero/storage/D5JCJG2Q/abstract.html; /Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/VerityRV_2017_Mol_Ecol_Resour_minotaur_-_A_platform_for_the_analysis_and_visualization_of_multivariate_results_from_genome_scans_with_R_Shiny.pdf","","","genomic scans; kernel density; Mahalanobis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKW4IUAE","journalArticle","2016","Adams, Richard H.; Blackmon, Heath; Reyes-Velasco, Jacobo; Schield, Drew R.; Card, Daren C.; Andrew, Audra L.; Waynewood, Nyimah; Castoe, Todd A.","Microsatellite landscape evolutionary dynamics across 450 million years of vertebrate genome evolution","Genome","","0831-2796","10.1139/gen-2015-0124","http://www.nrcresearchpress.com/doi/abs/10.1139/gen-2015-0124","The evolutionary dynamics of simple sequence repeats (SSRs or microsatellites) across the vertebrate tree of life remain largely undocumented and poorly understood. In this study, we analyzed patterns of genomic microsatellite abundance and evolution across 71 vertebrate genomes. The highest abundances of microsatellites exist in the genomes of ray-finned fishes, squamate reptiles, and mammals, while crocodilian, turtle, and avian genomes exhibit reduced microsatellite landscapes. We used comparative methods to infer evolutionary rates of change in microsatellite abundance across vertebrates and to highlight particular lineages that have experienced unusually high or low rates of change in genomic microsatellite abundance. Overall, most variation in microsatellite content, abundance, and evolutionary rate is observed among major lineages of reptiles, yet we found that several deeply divergent clades (i.e., squamate reptiles and mammals) contained relatively similar genomic microsatellite compositions. Arc..., La dynamique évolutive des séquences simples répétées (SSR ou microsatellites) au sein des vertébrés demeure largement non-documentée et mal connue. Dans ce travail, les auteurs ont analysé l’abondance et l’évolution des microsatellites chez 71 génomes de vertébrés. Les abondances de microsatellites les plus grandes ont été rencontrées au sein des génomes des poissons dotés de nageoires à rayons, des reptiles à écailles et des mammifères, tandis que les génomes des crocodiliens, des tortues et des oiseaux présentaient le moins de microsatellites. Les auteurs ont employé des méthodes comparatives pour inférer les taux de changements évolutifs en matière d’abondance des microsatellites parmi les vertébrés et pour mettre en évidence des lignages qui ont connu des taux exceptionnellement élevés ou faibles. Globalement, la majeure partie de la variation en matière de contenu, d’abondance et de taux d’évolution des microsatellites a été observée au sein des grands groupes de reptiles, et pourtant, les auteurs o...","2016-03-01","2018-01-23 00:59:24","2018-01-23 00:59:24","2018-01-23 00:59:24","295-310","","5","59","","Genome","","","","","","","","","All rights reserved","","","","NRC Research Press","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/AdamsRA_2016_Genome_Microsatellite_landscape_evolutionary_dynamics_across_450_million_years_of_vertebrate_genome_evolution.pdf; /Users/darencard/Zotero/storage/7NGKC2GV/gen-2015-0124.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUN5ZH6G","journalArticle","2017","Lotterhos, Katie E.; Card, Daren C.; Schaal, Sara M.; Wang, Liuyang; Collins, Caitlin; Verity, Bob","Composite measures of selection can improve the signal-to-noise ratio in genome scans","Methods in Ecology and Evolution","","2041-210X","10.1111/2041-210X.12774","http://onlinelibrary.wiley.com/doi/10.1111/2041-210X.12774/abstract","* The growing wealth of genomic data is yielding new insights into the genetic basis of adaptation, but it also presents the challenge of extracting the relevant signal from multi-dimensional datasets. Different statistical approaches vary in their power to detect selection depending on the demographic history, type of selection, genetic architecture and experimental design. * Here, we develop and evaluate new approaches for combining results from multiple tests, including multivariate distance measures and methods for combining P-values. We evaluate these methods on (i) simulated landscape genetic data analysed for differentiation outliers and genetic-environment associations and (ii) empirical genomic data analysed for selective sweeps within dog breeds for loci known to be selected for during domestication. We also introduce and evaluate how robust statistical algorithms can be used for parameter estimation in statistical genomics. * On the simulated data, many of the composite measures performed well and had decreased variation in outcomes across many sampling designs. On the empirical dataset, methods based on combining P-values generally performed better with clearer signals of selection, higher significance of the signal, and in closer proximity to the known selected locus. Although robust algorithms could identify neutral loci in our simulations, they did not universally improve power to detect selection. Overall, a composite statistic that measured a robust multivariate distance from rank-based P-values performed the best. * We found that composite measures of selection could improve the signal of selection in many cases, but they were not a panacea and their power is limited by the power of the univariate statistics they summarize. Since genome scans are widely used, improving inference for prioritizing candidate genes may be beneficial to medicine, agriculture, and breeding. Our results also have application to outlier detection in high-dimensional datasets and to combining results in meta-analyses in many disciplines. The compound measures we evaluate are implemented in the r package minotaur.","2017-06-01","2018-01-23 01:00:10","2018-01-23 01:00:10","2018-01-23 01:00:10","717-727","","6","8","","Methods Ecol Evol","","","","","","","","en","All rights reserved","","","","Wiley Online Library","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/LotterhosKL_2017_Methods_Ecol_Evol_Composite_measures_of_selection_can_improve_the_signal-to-noise_ratio_in_genome_scans.pdf; /Users/darencard/Zotero/storage/F9NG6IAA/abstract.html","","","composite signals of selection; genome-wide associations; Mahalanobis distance; meta-analysis; minimum covariance determinant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZWPVQQCM","bookSection","2014","Shaney, Kyle J.; Card, Daren C.; Schield, Drew R.; Ruggiero, Robert P.; Pollock, David D.; Mackessy, Stephen P.; Castoe, Todd A.","Squamate Reptile Genomics and Evolution","Toxinology","978-94-007-6649-5","","","https://link.springer.com/referenceworkentry/10.1007/978-94-007-6649-5_34-2","Squamates exhibit some of the most extreme and fascinating biological adaptations among vertebrates, including the production of a wide diversity of venom toxins. The rapid accumulation of genomic information from squamate reptiles is generating important new context and insights into the biology, the regulation and diversity of venom toxins, and the evolutionary processes that have generated this diversity. It is an exciting time as we discover what the unique aspects of the squamate genome can tell us about the molecular basis of such interesting and diverse phenotypes and explain how the extreme adaptations of squamate biology arose. This chapter reviews what is known about major patterns and evolutionary trends in squamate genomes and discusses how some of these features may relate to the evolution and development of unique features of squamate biology and physiology on the whole, including the evolution and regulation of venom toxins. It also discusses current challenges and obstacles in understanding squamate genome size, diversity, and evolution, and specific issues related to assembling and studying regions of squamate genomes that contain the genes and regulatory regions for venom toxins. Evidence is presented for a relatively constant genome size across squamates even though there have been major shifts in genomic structure and evolutionary processes. Some genomic structural features seem relatively unique to squamates and may have played roles in the evolution of venom toxins.","2014","2018-01-23 01:00:22","2018-01-23 01:13:25","2018-01-23 01:00:22","1-18","","","","","","","","","","","Springer, Dordrecht","","en","All rights reserved","","","","link-springer-com.ezproxy.uta.edu","","DOI: 10.1007/978-94-007-6649-5_34-2","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/ShaneyKS_2014_Toxinology_Squamate_Reptile_Genomics_and_Evolution.pdf; /Users/darencard/Zotero/storage/VK44UHC4/10.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CT98K3BZ","journalArticle","2017","Hales, Nicole R.; Schield, Drew R.; Andrew, Audra L.; Card, Daren C.; Walsh, Matthew R.; Castoe, Todd A.","Contrasting gene expression programs correspond with predator-induced phenotypic plasticity within and across generations in Daphnia","Molecular Ecology","","1365-294X","10.1111/mec.14213","http://onlinelibrary.wiley.com/doi/10.1111/mec.14213/abstract","Research has shown that a change in environmental conditions can alter the expression of traits during development (i.e., “within-generation phenotypic plasticity”) as well as induce heritable phenotypic responses that persist for multiple generations (i.e., “transgenerational plasticity”, TGP). It has long been assumed that shifts in gene expression are tightly linked to observed trait responses at the phenotypic level. Yet, the manner in which organisms couple within- and TGP at the molecular level is unclear. Here we tested the influence of fish predator chemical cues on patterns of gene expression within- and across generations using a clone of Daphnia ambigua that is known to exhibit strong TGP but weak within-generation plasticity. Daphnia were reared in the presence of predator cues in generation 1, and shifts in gene expression were tracked across two additional asexual experimental generations that lacked exposure to predator cues. Initial exposure to predator cues in generation 1 was linked to ~50 responsive genes, but such shifts were 3–4× larger in later generations. Differentially expressed genes included those involved in reproduction, exoskeleton structure and digestion; major shifts in expression of genes encoding ribosomal proteins were also identified. Furthermore, shifts within the first-generation and transgenerational shifts in gene expression were largely distinct in terms of the genes that were differentially expressed. Such results argue that the gene expression programmes involved in within- vs. transgeneration plasticity are fundamentally different. Our study provides new key insights into the plasticity of gene expression and how it relates to phenotypic plasticity in nature.","2017-10-01","2018-01-23 01:03:57","2018-01-23 01:03:57","2018-01-23 01:03:57","5003-5015","","19","26","","Mol Ecol","","","","","","","","en","All rights reserved","","","","Wiley Online Library","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/HalesNH_2017_Mol_Ecol_Contrasting_gene_expression_programs_correspond_with_predator-induced_phenotypic_plasticity_within_and_across_generations_in_Daphnia.pdf; /Users/darencard/Zotero/storage/46YDANTR/abstract.html","","","transcriptomics; epigenetics; ecoresponsive; transgenerational plasticity; water fleas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XJCJMV3","journalArticle","2017","Cox, Robert M.; Cox, Christian L.; McGlothlin, Joel W.; Card, Daren C.; Andrew, Audra L.; Castoe, Todd A.","Hormonally Mediated Increases in Sex-Biased Gene Expression Accompany the Breakdown of Between-Sex Genetic Correlations in a Sexually Dimorphic Lizard","The American Naturalist","","0003-0147","10.1086/690105","http://www.journals.uchicago.edu/doi/abs/10.1086/690105","The evolution of sexual dimorphism is predicted to occur through reductions in between-sex genetic correlations (rmf) for shared traits, but the physiological and genetic mechanisms that facilitate these reductions remain largely speculative. Here, we use a paternal half-sibling breeding design in captive brown anole lizards (Anolis sagrei) to show that the development of sexual size dimorphism is mirrored by the ontogenetic breakdown of rmf for body size and growth rate. Using transcriptome data from the liver (which integrates growth and metabolism), we show that sex-biased gene expression also increases dramatically between ontogenetic stages bracketing this breakdown of rmf. Ontogenetic increases in sex-biased expression are particularly evident for genes involved in growth, metabolism, and cell proliferation, suggesting that they contribute to both the development of sexual dimorphism and the breakdown of rmf. Mechanistically, we show that treatment of females with testosterone stimulates the expression of male-biased genes while inhibiting the expression of female-biased genes, thereby inducing male-like phenotypes at both organismal and transcriptomic levels. Collectively, our results suggest that sex-specific modifiers such as testosterone can orchestrate sex-biased gene expression to facilitate the phenotypic development of sexual dimorphism while simultaneously reducing genetic correlations that would otherwise constrain the independent evolution of the sexes.","2017-01-25","2018-01-23 01:04:14","2018-01-23 01:04:14","2018-01-23 01:04:14","315-332","","3","189","","The American Naturalist","","","","","","","","","All rights reserved","","","","journals.uchicago.edu (Atypon)","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/CoxRC_2017_The_American_Naturalist_Hormonally_Mediated_Increases_in_Sex-Biased_Gene_Expression_Accompany_the_Breakdown_of_Between-Sex_Genetic_Correlations_in_a_Sexually_Dimorphic_Lizard.pdf; /Users/darencard/Zotero/storage/M4EWC5IB/690105.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASDZHFWM","journalArticle","2017","Adams, Richard H.; Schield, Drew R.; Card, Daren C.; Blackmon, Heath; Castoe, Todd A.","GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data","Bioinformatics","","1367-4803","10.1093/bioinformatics/btw795","https://academic.oup.com/bioinformatics/article/33/9/1414/2736363","Summary: We introduce GppFst, an open source R package that generates posterior predictive distributions of FST and dx under a neutral coalescent model to identify putative targets of selection from genomic data.Availability and Implementation:GppFst is available at (https://github.com/radamsRHA/GppFst).Contact:todd.castoe@uta.eduSupplementary information:Supplementary data are available at Bioinformatics online.","2017-05-01","2018-01-23 01:05:10","2018-01-23 01:05:10","2018-01-23 01:05:10","1414-1415","","9","33","","Bioinformatics","GppFst","","","","","","","en","All rights reserved","","","","academic-oup-com.ezproxy.uta.edu","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/AdamsRA_2017_Bioinformatics_GppFst_-_genomic_posterior_predictive_simulations_of_FST_and_dXY_for_identifying_outlier_loci_from_population_genomic_data.pdf; /Users/darencard/Zotero/storage/QLDFA2KV/2736363.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96XE589L","journalArticle","2017","Schield, Drew R.; Adams, Richard H.; Card, Daren C.; Perry, Blair W.; Pasquesi, Giulia M.; Jezkova, Tereza; Portik, Daniel M.; Andrew, Audra L.; Spencer, Carol L.; Sanchez, Elda E.; Fujita, Matthew K.; Mackessy, Stephen P.; Castoe, Todd A.","Insight into the roles of selection in speciation from genomic patterns of divergence and introgression in secondary contact in venomous rattlesnakes","Ecology and Evolution","","2045-7758","10.1002/ece3.2996","http://onlinelibrary.wiley.com/doi/10.1002/ece3.2996/abstract","Investigating secondary contact of historically isolated lineages can provide insight into how selection and drift influence genomic divergence and admixture. Here, we studied the genomic landscape of divergence and introgression following secondary contact between lineages of the Western Diamondback Rattlesnake (Crotalus atrox) to determine whether genomic regions under selection in allopatry also contribute to reproductive isolation during introgression. We used thousands of nuclear loci to study genomic differentiation between two lineages that have experienced recent secondary contact following isolation, and incorporated sampling from a zone of secondary contact to identify loci that are resistant to gene flow in hybrids. Comparisons of patterns of divergence and introgression revealed a positive relationship between allelic differentiation and resistance to introgression across the genome, and greater-than-expected overlap between genes linked to lineage-specific divergence and loci that resist introgression. Genes linked to putatively selected markers were related to prominent aspects of rattlesnake biology that differ between populations of Western Diamondback rattlesnakes (i.e., venom and reproductive phenotypes). We also found evidence for selection against introgression of genes that may contribute to cytonuclear incompatibility, consistent with previously observed biased patterns of nuclear and mitochondrial alleles suggestive of partial reproductive isolation due to cytonuclear incompatibilities. Our results provide a genome-scale perspective on the relationships between divergence and introgression in secondary contact that is relevant for understanding the roles of selection in maintaining partial isolation of lineages, causing admixing lineages to not completely homogenize.","2017-06-01","2018-01-23 01:09:34","2018-01-23 01:09:34","2018-01-23 01:09:34","3951-3966","","11","7","","Ecol Evol","","","","","","","","en","All rights reserved","","","","Wiley Online Library","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/SchieldDS_2017_Ecol_Evol_Insight_into_the_roles_of_selection_in_speciation_from_genomic_patterns_of_divergence_and_introgression_in_secondary_contact_in_venomous_rattlesnakes.pdf; /Users/darencard/Zotero/storage/4BBUQHA3/abstract.html","","","gene flow; RADseq; adaptation; divergence; genomic clines; hybridization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7Z48BVB3","journalArticle","2017","Schott, Ryan K.; Panesar, Bhawandeep; Card, Daren C.; Preston, Matthew; Castoe, Todd A.; Chang, Belinda S. W.","Targeted Capture of Complete Coding Regions across Divergent Species","Genome Biology and Evolution","","","10.1093/gbe/evx005","https://academic.oup.com/gbe/article/9/2/398/2963137","Despite continued advances in sequencing technologies, there is a need for methods that can efficiently sequence large numbers of genes from diverse species. One approach to accomplish this is targeted capture (hybrid enrichment). While these methods are well established for genome resequencing projects, cross-species capture strategies are still being developed and generally focus on the capture of conserved regions, rather than complete coding regions from specific genes of interest. The resulting data is thus useful for phylogenetic studies, but the wealth of comparative data that could be used for evolutionary and functional studies is lost. Here, we design and implement a targeted capture method that enables recovery of complete coding regions across broad taxonomic scales. Capture probes were designed from multiple reference species and extensively tiled in order to facilitate cross-species capture. Using novel bioinformatics pipelines we were able to recover nearly all of the targeted genes with high completeness from species that were up to 200 myr divergent. Increased probe diversity and tiling for a subset of genes had a large positive effect on both recovery and completeness. The resulting data produced an accurate species tree, but importantly this same data can also be applied to studies of molecular evolution and function that will allow researchers to ask larger questions in broader phylogenetic contexts. Our method demonstrates the utility of cross-species approaches for the capture of full length coding sequences, and will substantially improve the ability for researchers to conduct large-scale comparative studies of molecular evolution and function.","2017-02-01","2018-01-23 01:09:51","2018-01-23 01:09:51","2018-01-23 01:09:51","398-414","","2","9","","Genome Biol Evol","","","","","","","","en","All rights reserved","","","","academic-oup-com.ezproxy.uta.edu","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/SchottRS_2017_Genome_Biol_Evol_Targeted_Capture_of_Complete_Coding_Regions_across_Divergent_Species.pdf; /Users/darencard/Zotero/storage/5RL9R4BV/2963137.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B27D78WA","journalArticle","2017","Andrew, Audra L.; Perry, Blair W.; Card, Daren C.; Schield, Drew R.; Ruggiero, Robert P.; McGaugh, Suzanne E.; Choudhary, Amit; Secor, Stephen M.; Castoe, Todd A.","Growth and stress response mechanisms underlying post-feeding regenerative organ growth in the Burmese python","BMC Genomics","","1471-2164","10.1186/s12864-017-3743-1","https://doi.org/10.1186/s12864-017-3743-1","Previous studies examining post-feeding organ regeneration in the Burmese python (Python molurus bivittatus) have identified thousands of genes that are significantly differentially regulated during this process. However, substantial gaps remain in our understanding of coherent mechanisms and specific growth pathways that underlie these rapid and extensive shifts in organ form and function. Here we addressed these gaps by comparing gene expression in the Burmese python heart, liver, kidney, and small intestine across pre- and post-feeding time points (fasted, one day post-feeding, and four days post-feeding), and by conducting detailed analyses of molecular pathways and predictions of upstream regulatory molecules across these organ systems.","2017-05-02","2018-01-23 01:10:10","2018-01-23 01:10:10","2018-01-23 01:10:10","338","","","18","","BMC Genomics","","","","","","","","","All rights reserved","","","","BioMed Central","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/AndrewAA_2017_BMC_Genomics_Growth_and_stress_response_mechanisms_underlying_post-feeding_regenerative_organ_growth_in_the_Burmese_python.pdf; /Users/darencard/Zotero/storage/RJFJPEWL/s12864-017-3743-1.html","","","Hyperplasia; Hypertrophy; mTOR; NRF2; Regeneration; RNAseq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ULQX5S2H","journalArticle","2017","Shortt, Jonathan A.; Card, Daren C.; Schield, Drew R.; Liu, Yang; Zhong, Bo; Castoe, Todd A.; Carlton, Elizabeth J.; Pollock, David D.","Whole Genome Amplification and Reduced-Representation Genome Sequencing of Schistosoma japonicum Miracidia","PLOS Neglected Tropical Diseases","","1935-2735","10.1371/journal.pntd.0005292","http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0005292","Author Summary Schistosomiasis is a devastating tropical disease that affects more than 200 million people worldwide. Over the past several decades, transmission control strategies implemented in China have reduced the prevalence and morbidity of Schistosoma japonicum in many areas. Infections still persist, however, and it is therefore of great interest to determine the sources of recurring infections. Genetic analysis is a promising means to achieve this. Towards this aim, we conducted a pilot study to assess the feasibility of using high-throughput sequencing to assess the geographic distribution of schistosome genetic variants. Because DNA yields from miracidia, the most easily accessible life stage, are insufficient for high throughput sequencing, we first employed whole genome amplification to obtain sufficient quantities of DNA. We then employed a technique that reproducibly sequences the same fraction of a genome across numerous samples. We successfully sequenced 6-year old S. japonicum samples from Sichuan Province, China, easily and economically identifying tens of thousands of variable loci, a sufficient number to discriminate fine-scale population structure. Further population sampling will help answer important questions concerning the persistence of infections, the sources of new infections, and whether parasite populations have undergone incipient evolution of drug resistance.","2017-01-20","2018-01-23 01:10:19","2018-01-23 01:10:19","2018-01-23 01:10:19","e0005292","","1","11","","PLOS Neglected Tropical Diseases","","","","","","","","en","All rights reserved","","","","PLoS Journals","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/ShorttJS_2017_PLOS_Neglected_Tropical_Diseases_Whole_Genome_Amplification_and_Reduced-Representation_Genome_Sequencing_of_Schistosoma_japonicum_Miracidia.pdf; /Users/darencard/Zotero/storage/HUCK5Y4G/article.html","","","Genomic libraries; Microsatellite loci; Genetic loci; Invertebrate genomics; Genomics; Polymerase chain reaction; Schistosoma; Schistosoma japonicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBC8AQU2","journalArticle","2018","Pasquesi, Giulia I. M.; Adams, Richard H.; Card, Daren C.; Schield, Drew R.; Corbin, Andrew B.; Perry, Blair W.; Reyes-Velasco, Jacobo; Ruggiero, Robert P.; Vandewege, Michael W.; Shortt, Jonathan A.; Castoe, Todd A.","Squamate reptiles challenge paradigms of genomic repeat element evolution set by birds and mammals","Nature Communications","","2041-1723","10.1038/s41467-018-05279-1","https://www.nature.com/articles/s41467-018-05279-1","Large-scale patterns of genomic repeat element evolution have been studied mainly in birds and mammals. Here, the authors analyze the genomes of over 60 squamate reptiles and show high variation in repeat elements compared to mammals and birds, and particularly high microsatellite seeding in snakes.","2018-07-17","2018-11-14 22:34:23","2018-11-14 22:34:23","2018-11-14 22:34:23","2774","","1","9","","","","","","","","","","En","2018 The Author(s)","","","","www.nature.com","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/PasquesiGP_2018_Nature_Communications_Squamate_reptiles_challenge_paradigms_of_genomic_repeat_element_evolution_set_by_birds_and_mammals.pdf; /Users/darencard/Zotero/storage/36K2C6YX/s41467-018-05279-1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
